华北制药股份有限公司（制药总厂）,tvsitet1
风帆股份有限公司清苑分公司,tvsitet580
涞水县顺通热力有限公司,tvsitet581
涞水县滨河城市污水处理中心(西厂),tvsitet582
涞水县滨河城市污水处理中心(东厂),tvsitet583
涞水冀东水泥有限责任公司,tvsitet584
阜平县恒和污水处理厂,tvsitet585
阜平县鸿霖热力公司,tvsitet586
徐水县飞睿达金属加工有限公司,tvsitet587
保定科林供热有限公司,tvsitet588
保定巨力供热有限公司,tvsitet589
风帆有限责任公司徐水工业电池分公司,tvsitet590
河北省保定市东方造纸有限公司,tvsitet591
保定美伦有色金属有限公司,tvsitet592
保定广元铅制品有限公司,tvsitet593
徐水县宏达铅制品有限责任公司,tvsitet594
保定创杰市政工程有限公司,tvsitet595
徐水县胜利精铅熔炼厂,tvsitet596
定兴镇污水处理厂,tvsitet597
定兴县城建市政有限公司,tvsitet598
定兴县吉忠热力有限公司,tvsitet599
唐县国润发投热力有限公司,tvsitet600
唐县污水处理厂,tvsitet601
唐县冀东水泥有限责任公司,tvsitet602
联合环境水务（高阳）有限公司,tvsitet603
高阳县碧水蓝天水务有限公司,tvsitet604
高阳县亚华联合开发有限公司,tvsitet605
河北大发纸业有限公司,tvsitet606
容城县容兴纸业有限公司,tvsitet607
容城县金玉城印染有限公司,tvsitet608
涞源新昌热电有限责任公司,tvsitet609
涞源县奥宇钢铁有限公司,tvsitet610
涞源县污水处理厂,tvsitet611
望都县鑫盛城市建设投资有限公司,tvsitet612
望都清源排水有限公司,tvsitet613
蒙牛乳业（保定）有限公司,tvsitet614
河北瑞佰特电源有限公司,tvsitet615
安新县嘉诚污水处理有限公司,tvsitet616
安新县辰泰有色金属熔炼有限公司,tvsitet617
安新县硕兴有色金属熔炼有限公司,tvsitet618
河北港安环保科技有限公司,tvsitet619
保定新鑫铅业有限公司,tvsitet620
安新县污水处理厂,tvsitet621
保定大利铜业有限公司,tvsitet622
河北京兰水泥有限公司,tvsitet623
易县钰泉城市建设开发有限公司,tvsitet624
曲阳金隅水泥有限公司,tvsitet625
曲阳县大通污水处理有限公司,tvsitet626
河北田原化工集团有限公司,tvsitet627
蠡县北郭丹污水处理站,tvsitet628
蠡县大百尺污水处理厂,tvsitet629
蠡县永兴庄第二造纸厂,tvsitet630
蠡县污水处理有限公司,tvsitet631
蠡县留史镇污水处理有限公司,tvsitet632
蠡县辛兴纺织城综合开发有限公司,tvsitet633
蠡县曙光羊毛洗涤制品厂,tvsitet634
顺平县清源污水处理有限公司,tvsitet635
顺平县金强水泥有限公司,tvsitet636
顺平县旭奎纸业有限公司,tvsitet637
河北汇源食品饮料有限公司,tvsitet638
博野县大通污水处理有限公司,tvsitet639
雄县龙湾镇污水处理厂,tvsitet640
雄县污水处理厂,tvsitet641
英利能源（中国）有限公司,tvsitet642
天河（保定）环境工程有限公司（危险废物）,tvsitet643
保定市洪峰工业有限公司,tvsitet644
高碑店市白沟海建五金电镀厂,tvsitet645
高碑店市白沟镇污水处理厂,tvsitet646
涿州市松林店镇污水处理厂,tvsitet647
华北铝业有限公司,tvsitet648
涿州利源热电有限责任公司,tvsitet649
涿州市东立纸业有限责任公司,tvsitet650
涿州亿力达热电有限公司,tvsitet651
涿州中科国益水务有限公司（西厂）,tvsitet652
涿州中科国益水务有限公司（东厂）,tvsitet653
安国市第二污水处理厂,tvsitet654
保定市百思特环境工程技术有限公司安国分公司,tvsitet655
安国市嘉诚污水处理有限公司,tvsitet656
安国创业水务有限公司,tvsitet657
高碑店市隆创集中供热有限公司,tvsitet658
绿色新能源股份有限公司（危险废物）,tvsitet659
高碑店市污水处理厂,tvsitet660
万全县通源热力有限公司,tvsitet662
赤城县深港环保技术有限公司（名单重复）,tvsitet663
西合营镇污水处理厂,tvsitet664
张家口市塞北管理区圣洁污水处理有限公司,tvsitet665
宣化县洋河南镇污水处理厂,tvsitet666
张北县星火供热有限公司,tvsitet667
张家口市东源热力有限责任公司,tvsitet668
张家口市桥西区恒峰热力有限公司,tvsitet669
张家口西山污水处理有限责任公司,tvsitet670
宣化县污水处理厂,tvsitet671
怀安县金泉建设工程有限公司,tvsitet672
张家口长城液压油缸有限公司,tvsitet673
张家口保胜新能源科技有限公司,tvsitet674
宣化钢铁集团有限责任公司,tvsitet675
张家口市凯丹水务水业发展有限公司,tvsitet676
张家口市冀钢钢铁有限公司,tvsitet677
张家口市金隅水泥有限公司,tvsitet678
张家口市鑫烨机械制造有限公司,tvsitet679
大唐国际发电股份有限公司张家口发电厂,tvsitet680
宣化钢铁棒材有限责任公司,tvsitet681
河北建投宣化热电有限责任公司,tvsitet682
宣化钢铁集团有限责任公司炼钢厂,tvsitet683
宣化钢铁集团有限责任公司焦化厂,tvsitet684
宣化钢铁集团有限责任公司炼铁厂,tvsitet685
宣化钢铁集团有限责任公司动力厂,tvsitet686
大唐国际发电股份有限公司下花园发电厂,tvsitet687
张家口市下花园园鸣污水处理有限责任公司,tvsitet688
河北盛华化工有限公司,tvsitet689
张北华盈热力有限公司,tvsitet690
张北嘉诚水质净化有限公司,tvsitet691
河北华澳矿业开发有限公司,tvsitet692
康保县城污水及再生水处理厂,tvsitet693
河北昊成实业集团有限公司,tvsitet694
沽源宝洲现代牧业有限公司,tvsitet695
沽源县清源污水处理有限责任公司,tvsitet696
沽源富安矿业有限公司,tvsitet697
尚义县利通排水中心,tvsitet698
开滦（集团）蔚州矿业有限责任公司单侯矿,tvsitet699
蔚县清润污水处理有限公司,tvsitet700
冀中能源张矿集团蔚西矿业有限公司,tvsitet701
阳原县洁源污水处理有限公司,tvsitet702
张家口永盛毛皮硝染有限公司,tvsitet703
怀安县清源污水处理有限责任公司,tvsitet704
怀安县宏都食品责任有限公司,tvsitet705
国电怀安热电有限公司,tvsitet706
万全县污水净化研究中心,tvsitet707
河北万全宏宇化工有限责任公司,tvsitet708
河北万全力华化工有限责任公司,tvsitet709
中国长城葡萄酒有限公司,tvsitet710
怀来京西洁源污水处理厂,tvsitet711
涿鹿金隅水泥有限公司,tvsitet712
河北天宝化工股份有限公司,tvsitet713
涿鹿县污水处理管理中心,tvsitet714
涿鹿玉晶淀粉有限公司,tvsitet715
赤城县深港环保技术有限公司,tvsitet716
赤诚县龙兴矿业有限公司,tvsitet717
崇礼县丰汇热力有限公司,tvsitet718
崇礼县龙泽排水有限公司,tvsitet719
河北大唐国际张家口热电有限责任公司,tvsitet720
张家口市鸿泽排水有限公司,tvsitet721
现代牧业（察北）有限公司,tvsitet722
张家口市察北管理区飞跃城镇污水处理有限公司,tvsitet723
张家口察哈尔乳业有限公司,tvsitet724
承德市城市污水处理有限责任公司,tvsitet726
承德环能热电有限责任公司,tvsitet727
河北钢铁股份有限公司承德分公司,tvsitet728
承德市创远矿业有限公司,tvsitet729
承德市中保水务有限公司,tvsitet730
国电承德热电有限公司,tvsitet731
承德承钢双福矿业有限公司,tvsitet732
国电滦河热电有限公司,tvsitet733
承德市鹰手营子矿区柳源污水处理有限责任公司,tvsitet734
承德凯兴能源有限公司矸石热电厂,tvsitet735
承德建龙特殊钢有限公司,tvsitet736
承德县五道河金矿,tvsitet737
承德县富豪银矿有限公司,tvsitet738
承德承钢正桥矿业开发有限公司,tvsitet739
承德县绿溪污水处理有限公司,tvsitet740
兴隆县和鑫多金属矿业有限公司,tvsitet741
兴隆县双炉台联营锌选厂,tvsitet742
兴隆县鹏生热力有限公司,tvsitet743
兴隆县中冶水务有限公司,tvsitet744
兴隆县鹏源生物科技开发有限公司,tvsitet745
兴隆县兴隆热力有限责任公司,tvsitet746
承德华晟铜业有限责任公司,tvsitet747
承德避暑山庄企业集团有限责任公司,tvsitet748
平泉县金宝矿业有限公司,tvsitet749
平泉县排水管理处,tvsitet750
滦平县道意诚黄金选厂,tvsitet751
滦平德龙污水处理有限责任公司,tvsitet752
承德信通首承矿业有限责任公司,tvsitet753
隆化鑫奥博矿业有限公司,tvsitet754
隆化县浩政矿业有限责任公司,tvsitet755
隆化县污水处理厂,tvsitet756
丰宁万隆矿业发展有限公司,tvsitet757
丰宁满族自治县清源污水处理有限公司,tvsitet758
宽城宏宇热力有限公司,tvsitet759
承德兆丰钢铁集团有限公司,tvsitet760
承德天宝水泥有限公司,tvsitet761
宽城奥能环保有限公司,tvsitet762
承德盛丰钢铁有限公司,tvsitet763
围场满族蒙古族自治县银发矿业有限责任公司,tvsitet764
围场满族蒙古族自治县雄威化工有限公司,tvsitet765
围场满族蒙古族自治县新华生矿业有限公司,tvsitet766
围场松华矿业有限责任公司,tvsitet767
围场满族蒙古族自治县鑫汇污水净化处理中心,tvsitet768
河北新启元能源技术开发股份有限公司,tvsitet770
凯瑞环保科技股份有限公司,tvsitet771
沧州临港金隅水泥有限公司,tvsitet772
肃宁县华上裘皮硝染有限公司,tvsitet773
小洋人生物乳业集团有限公司,tvsitet774
华斯控股股份有限公司,tvsitet775
青县华亿电子有限公司,tvsitet776
沧州市银光镀锌厂,tvsitet777
黄骅市津东化工有限公司,tvsitet778
沧州市供水排水集团有限公司运东污水处理厂,tvsitet779
中节能（沧州）环保能源有限公司（危险废物）,tvsitet780
中国石油化工股份有限公司沧州分公司,tvsitet781
沧州市供水排水集团有限公司运西污水处理厂,tvsitet782
沧州大化股份有限公司沃原分公司,tvsitet783
沧州华润热电有限公司,tvsitet784
沧州大化TDI有限责任公司,tvsitet785
沧州市益康医疗废弃物集中处置有限公司沧东工业园分公司,tvsitet786
沧州殿元五金电子有限公司,tvsitet787
沧州瑞雄纸业有限公司,tvsitet788
青县恒伟纸业有限公司,tvsitet789
青县紫光龙世杰水务有限公司河东污水处理厂,tvsitet790
青县城东污水处理厂,tvsitet791
青县龙江纸业有限责任公司,tvsitet792
沧州金宏纸业有限公司,tvsitet793
彩客化学（东光）有限公司,tvsitet794
河北省东光化工有限责任公司,tvsitet795
唐山三友集团东光浆粕有限责任公司,tvsitet796
东光污水处理厂,tvsitet797
海兴县污水处理厂,tvsitet798
盐山县城市污水处理厂,tvsitet799
盐山县天和兴生物制品有限公司,tvsitet800
肃宁县第一污水处理有限公司,tvsitet801
肃宁县第二污水处理有限公司,tvsitet802
南皮县污水处理厂,tvsitet803
南皮县正和热力有限责任公司,tvsitet804
吴桥县天通圆合成材料有限公司,tvsitet805
吴桥昊通树脂有限公司,tvsitet806
吴桥县荣泰木业有限公司,tvsitet807
国能吴桥生物发电有限公司,tvsitet808
吴桥县污水处理厂,tvsitet809
献县清源污水处理中心,tvsitet810
沧州博昌皮革工业有限公司,tvsitet811
河北燕京啤酒有限公司,tvsitet812
孟村回族自治县汇红达肉类有限公司,tvsitet813
孟村回族自治县污水处理厂,tvsitet814
大成食品（河北）有限公司,tvsitet815
河北丰源环保科技股份有限公司,tvsitet816
沧州龙世杰污水处理有限公司,tvsitet817
沧州正元化肥有限公司,tvsitet818
河北临港化工有限公司,tvsitet819
沧州中铁装备制造材料有限公司,tvsitet820
河北渤海煤焦化有限公司,tvsitet821
华润电力（渤海新区）有限公司,tvsitet822
沧州旭阳化工有限公司,tvsitet823
中海石油中捷石化有限公司,tvsitet824
河北国华沧东发电有限责任公司,tvsitet825
沧州大化股份有限公司聚海分公司,tvsitet826
沧州临港圣捷污水处理有限公司,tvsitet827
泊头市交河镇污水处理厂,tvsitet828
泊头市污水处理厂,tvsitet829
泊头市运西污水处理厂,tvsitet830
泊头市京然集中供热有限公司,tvsitet831
任丘市科蓝达金属表面处理有限公司,tvsitet832
河北建投任丘热电有限责任公司,tvsitet833
任丘市城东污水处理厂,tvsitet834
中国石油天然气股份有限公司华北石化分公司,tvsitet835
中国石油大港油田第六采油厂,tvsitet836
黄骅德富皮革制品有限公司,tvsitet837
河北鑫海化工集团有限公司,tvsitet838
黄骅市兴和纸业有限公司,tvsitet839
黄骅市兰天热力投资有限公司,tvsitet840
沧州绿源水处理有限公司黄骅经济开发区污水处理厂,tvsitet841
河间市中科成水务公司束城镇污水处理厂,tvsitet842
河间市污水处理厂,tvsitet843
河北万忠废旧材料回收有限公司,tvsitet845
香河万水环保材料有限公司,tvsitet846
文安县豫丰金属制品有限公司,tvsitet847
廊坊市热力总公司,tvsitet848
廊坊开发区富思特工业废弃物收储有限公司,tvsitet849
富智康精密电子（廊坊）有限公司,tvsitet850
青岛啤酒（廊坊）有限公司,tvsitet851
廊坊凯发新泉水务有限公司,tvsitet852
廊坊市洸远金属制品有限公司,tvsitet853
创冠环保（廊坊）有限公司,tvsitet854
国电华北电力有限公司廊坊热电厂,tvsitet855
固安绿源城区污水处理有限公司,tvsitet856
固安嘉祥皮草有限公司,tvsitet857
廊坊莱索思环境技术有限公司,tvsitet858
永清北方污水处理有限公司,tvsitet859
香河县聚鑫奶牛养殖专业合作社,tvsitet860
香河县三强污水处理厂,tvsitet861
大城县城建环保污水处理有限公司,tvsitet862
文安县城区污水处理厂,tvsitet863
河北凯跃化工集团有限公司,tvsitet864
廊坊派皇工贸集团有限公司,tvsitet865
文安县新钢钢铁有限公司,tvsitet866
廊坊经济技术开发区供水中心,tvsitet867
中信环境水务（霸州）有限公司,tvsitet868
霸州嘉诚水质净化有限公司,tvsitet869
霸州市国泰环保工程有限公司,tvsitet870
北京嘉瑞环保股份有限公司,tvsitet871
河北前进钢铁集团有限公司,tvsitet872
霸州市新利钢铁有限公司,tvsitet873
霸州溢昇水务科技有限公司胜芳分公司,tvsitet874
霸州市华通纸业有限公司,tvsitet875
三河发电有限责任公司,tvsitet876
三河市鼎盛水业发展有限公司,tvsitet877
三河市龙源水业有限公司,tvsitet878
三河市龙源水业有限公司燕郊污水处理厂,tvsitet879
三河市金桥水业有限责任公司,tvsitet880
三河市金桥污水处理有限公司,tvsitet881
衡水睿韬环保技术有限公司,tvsitet883
衡水京华化工有限公司,tvsitet884
邯钢集团衡水薄板有限责任公司,tvsitet885
衡水金仕莱皮草有限公司,tvsitet886
枣强县兴宏裘皮制品有限公司,tvsitet887
枣强县浩丰硝染厂,tvsitet888
枣强县污水处理厂,tvsitet889
枣强县大营污水处理厂,tvsitet890
衡水国祯污水处理有限公司,tvsitet891
武强县污水处理厂,tvsitet892
饶阳县污水处理厂,tvsitet893
安平县凯悦污水处理有限公司,tvsitet894
河北裕丰京安养殖有限公司,tvsitet895
故城县夏庄镇污水处理厂,tvsitet896
故城县夏庄污水处理厂,tvsitet897
故城县营东污水处理厂,tvsitet898
故城国祯污水处理有限公司,tvsitet899
河北景化化工有限公司,tvsitet900
景县污水处理厂,tvsitet901
阜城县华兴服装有限公司,tvsitet902
阜城县污水处理厂,tvsitet903
衡水市垃圾综合处理厂,tvsitet904
衡水京华制管有限公司,tvsitet905
河北冀衡（集团）药业有限公司,tvsitet906
河北凯徳生物材料有限公司,tvsitet907
河北冀衡（集团）化肥有限公司,tvsitet908
河北衡丰发电有限责任公司,tvsitet909
衡水市污水处理厂,tvsitet910
衡水恒兴发电有限责任公司,tvsitet911
衡水工业新区循环经济园区污水处理厂,tvsitet912
河北衡水高新技术产业开发区北区污水处理厂,tvsitet913
冀州中科能源有限公司（原冀州市热电厂、冀州市垚鑫新能源热电有限责任公司）,tvsitet914
衡水市冀州区碧园污水处理厂,tvsitet915
晋煤冀州银海化肥有限责任公司,tvsitet916
河北冀衡（集团）药业有限公司深州分公司,tvsitet917
深州嘉诚水质净化有限公司,tvsitet918
定州市冀环危险废物治理有限公司,tvsitet920
河北国华定洲发电有限责任公司,tvsitet921
定州市中诚水务有限公司,tvsitet922
葛洲坝水务（定州）有限公司,tvsitet923
河北旭阳焦化有限公司,tvsitet924
辛集市众丰缘皮革有限公司,tvsitet926
辛集市豪威皮革有限公司,tvsitet927
辛集市联盛皮革有限公司（原辛集市艺达皮革服饰有限责任公司）,tvsitet928
辛集市联盛皮革有限公司（原河北省辛集市试炮营制革区开泰制革厂）,tvsitet929
辛集市联盛皮革有限公司（原辛集市众丰缘皮革有限公司）,tvsitet930
辛集市联盛皮革有限公司（原辛集市鸿丰皮业有限公司）,tvsitet931
辛集市联盛皮革有限公司（原辛集市试炮营明泰制革厂）,tvsitet932
辛集市联盛皮革有限公司（原辛集市试炮营群祥制革厂）,tvsitet933
辛集市联盛皮革有限公司（原辛集市试炮营帅宇制革厂）,tvsitet934
辛集市联盛皮革有限公司（原辛集市威豪皮革有限公司）,tvsitet935
辛集市联盛皮革有限公司（原辛集市鑫峰皮革有限公司）,tvsitet936
辛集市联盛皮革有限公司（原辛集市鑫熙皮革有限公司）,tvsitet937
辛集市联盛皮革有限公司（原辛集市焱森皮业有限公司）,tvsitet938
河北德瑞淀粉有限公司,tvsitet939
辛集市华达皮革有限公司,tvsitet940
辛集市试炮营群祥制革厂,tvsitet941
辛集市试炮营明泰制革厂,tvsitet942
河北省辛集市试炮营制革区开泰制革厂,tvsitet943
辛集市裕恒皮革有限公司,tvsitet944
辛集市水处理中心,tvsitet945
辛集市博煊制衣有限公司制革分公司（原辛集市新兰剪绒厂）,tvsitet946
辛集市海洋皮革有限公司,tvsitet947
辛集市恒洋制革厂,tvsitet948
辛集市梅花皮业有限公司,tvsitet949
河北鑫强集团有限公司,tvsitet950
辛集市天达制革有限公司,tvsitet951
辛集市树森皮革厂,tvsitet952
辛集市元亨利皮革有限公司,tvsitet953
辛集市凌爵皮革有限责任公司,tvsitet954
辛集市北达皮业有限公司,tvsitet955
辛集市试炮营帅宇制革厂,tvsitet956
辛集市艺达皮革服饰有限责任公司,tvsitet957
辛集市宏四海皮革有限公司,tvsitet958
石家庄利克斯裘皮有限公司,tvsitet959
石家庄鸿欣橡胶制品有限公司,tvsitet960
辛集市东盟制革有限公司,tvsitet961
辛集市鑫熙皮革有限公司,tvsitet962
辛集市通宝皮业有限公司,tvsitet963
河北煜泰热能科技有限公司,tvsitet964
辛集市鑫峰皮革有限公司,tvsitet965
辛集市焱森皮业有限公司,tvsitet966
辛集市东信皮革有限公司,tvsitet967
辛集市鸿丰皮业有限公司,tvsitet968
辛集市澳森钢铁有限公司,tvsitet969
辛集市金泉制革有限公司,tvsitet970
辛集市瑞斯达裘皮有限公司,tvsitet971
辛集市金马皮革有限公司,tvsitet972
辛集市亨达美裘皮有限公司,tvsitet973
辛集市乾和盛制革有限公司,tvsitet974
辛集市浩轩裘革有限公司,tvsitet975
辛集市旺华皮革有限公司,tvsitet976
辛集市金兴制革有限公司,tvsitet977
辛集市天通皮业有限公司,tvsitet978
辛集市圣马皮革有限公司,tvsitet979
辛集市福盛制革有限公司,tvsitet980
辛集市福强皮业有限公司,tvsitet981
辛集市祥鑫制革厂,tvsitet982
辛集市盛洋皮业有限公司,tvsitet983
辛集市瑞普皮草有限公司,tvsitet984
河北东明皮革有限公司,tvsitet985
辛集市兆君毛革有限公司,tvsitet986
辛集市欧亚裘革有限公司,tvsitet987
河北东明牛皮制革有限公司,tvsitet988
辛集市超恩裘革制品有限公司,tvsitet989
辛集市名花皮业有限公司制革分公司,tvsitet990
辛集市艺洋制革厂,tvsitet991
辛集市宝得福皮业有限公司,tvsitet992
河北麦德姆皮革有限公司,tvsitet993
